,Short_Ticker,Name,Sector
35,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
36,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
37,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
38,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
39,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
40,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
41,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
42,ADVR,AVDR US LargeCap Leading ETF,N/A
43,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
44,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
45,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
46,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
47,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
48,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
49,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
50,AAAU,Perth Mint Physical Gold ETF,Precious Metals
51,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
52,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
53,ABEQ,Absolute Core Strategy ETF,All Cap Equities
54,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
55,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
56,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
57,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
58,ACTV,LeaderShares Activist Leaders ETF,N/A
59,ACVF,American Conservative Values ETF,N/A
60,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
61,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
62,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
63,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
64,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
65,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
66,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
67,ADVR,AVDR US LargeCap Leading ETF,N/A
68,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
69,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
70,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
71,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
72,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
73,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
74,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
75,AAAU,Perth Mint Physical Gold ETF,Precious Metals
76,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
77,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
78,ABEQ,Absolute Core Strategy ETF,All Cap Equities
79,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
80,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
81,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
82,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
83,ACTV,LeaderShares Activist Leaders ETF,N/A
84,ACVF,American Conservative Values ETF,N/A
85,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
86,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
87,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
88,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
89,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
90,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
91,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
92,ADVR,AVDR US LargeCap Leading ETF,N/A
93,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
94,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
95,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
96,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
97,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
98,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
99,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
100,AAAU,Perth Mint Physical Gold ETF,Precious Metals
101,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
102,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
103,ABEQ,Absolute Core Strategy ETF,All Cap Equities
104,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
105,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
106,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
107,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
108,ACTV,LeaderShares Activist Leaders ETF,N/A
109,ACVF,American Conservative Values ETF,N/A
110,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
111,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
112,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
113,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
114,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
115,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
116,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
117,ADVR,AVDR US LargeCap Leading ETF,N/A
118,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
119,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
120,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
121,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
122,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
123,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
124,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
125,AAAU,Perth Mint Physical Gold ETF,Precious Metals
126,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
127,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
128,ABEQ,Absolute Core Strategy ETF,All Cap Equities
129,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
130,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
131,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
132,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
133,ACTV,LeaderShares Activist Leaders ETF,N/A
134,ACVF,American Conservative Values ETF,N/A
135,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
136,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
137,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
138,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
139,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
140,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
141,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
142,ADVR,AVDR US LargeCap Leading ETF,N/A
143,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
144,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
145,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
146,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
147,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
148,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
149,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
150,AAAU,Perth Mint Physical Gold ETF,Precious Metals
151,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
152,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
153,ABEQ,Absolute Core Strategy ETF,All Cap Equities
154,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
155,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
156,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
157,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
158,ACTV,LeaderShares Activist Leaders ETF,N/A
159,ACVF,American Conservative Values ETF,N/A
160,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
161,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
162,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
163,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
164,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
165,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
166,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
167,ADVR,AVDR US LargeCap Leading ETF,N/A
168,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
169,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
170,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
171,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
172,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
173,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
174,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
175,AAAU,Perth Mint Physical Gold ETF,Precious Metals
176,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
177,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
178,ABEQ,Absolute Core Strategy ETF,All Cap Equities
179,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
180,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
181,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
182,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
183,ACTV,LeaderShares Activist Leaders ETF,N/A
184,ACVF,American Conservative Values ETF,N/A
185,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
186,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
187,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
188,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
189,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
190,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
191,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
192,ADVR,AVDR US LargeCap Leading ETF,N/A
193,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
194,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
195,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
196,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
197,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
198,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
199,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
200,AAAU,Perth Mint Physical Gold ETF,Precious Metals
201,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
202,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
203,ABEQ,Absolute Core Strategy ETF,All Cap Equities
204,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
205,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
206,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
207,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
208,ACTV,LeaderShares Activist Leaders ETF,N/A
209,ACVF,American Conservative Values ETF,N/A
210,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
211,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
212,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
213,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
214,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
215,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
216,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
217,ADVR,AVDR US LargeCap Leading ETF,N/A
218,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
219,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
220,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
221,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
222,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
223,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
224,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
225,AAAU,Perth Mint Physical Gold ETF,Precious Metals
226,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
227,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
228,ABEQ,Absolute Core Strategy ETF,All Cap Equities
229,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
230,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
231,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
232,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
233,ACTV,LeaderShares Activist Leaders ETF,N/A
234,ACVF,American Conservative Values ETF,N/A
235,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
236,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
237,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
238,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
239,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
240,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
241,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
242,ADVR,AVDR US LargeCap Leading ETF,N/A
243,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
244,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
245,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
246,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
247,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
248,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
249,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
250,BAB,Invesco Taxable Municipal Bond ETF,National Munis
251,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
252,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
253,BAR,GraniteShares Gold Trust,Precious Metals
254,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
255,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
256,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
257,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
258,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
259,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
260,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
261,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
262,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
263,BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,Small Cap Growth Equities
264,BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
265,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate
266,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,Total Bond Market
267,BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,N/A
268,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,Large Cap Growth Equities
269,BCD,Aberdeen Standard Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,Commodities
270,BCI,Aberdeen Standard Bloomberg All Commodity Strategy K-1 Free ETF,Commodities
271,BCM,iPath Pure Beta Broad Commodity ETN,Commodities
272,BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Leveraged Equities
273,BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Financials Equities
274,BDEC,Innovator S&P 500 Buffer ETF December Series,Large Cap Blend Equities
275,BAB,Invesco Taxable Municipal Bond ETF,National Munis
276,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
277,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
278,BAR,GraniteShares Gold Trust,Precious Metals
279,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
280,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
281,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
282,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
283,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
284,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
285,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
286,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
287,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
288,BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,Small Cap Growth Equities
289,BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
290,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate
291,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,Total Bond Market
292,BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,N/A
293,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,Large Cap Growth Equities
294,BCD,Aberdeen Standard Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,Commodities
295,BCI,Aberdeen Standard Bloomberg All Commodity Strategy K-1 Free ETF,Commodities
296,BCM,iPath Pure Beta Broad Commodity ETN,Commodities
297,BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Leveraged Equities
298,BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Financials Equities
299,BDEC,Innovator S&P 500 Buffer ETF December Series,Large Cap Blend Equities
300,BAB,Invesco Taxable Municipal Bond ETF,National Munis
301,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
302,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
303,BAR,GraniteShares Gold Trust,Precious Metals
304,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
305,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
306,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
307,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
308,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
309,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
310,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
311,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
312,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
313,BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,Small Cap Growth Equities
314,BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
315,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate
316,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,Total Bond Market
317,BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,N/A
318,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,Large Cap Growth Equities
319,BCD,Aberdeen Standard Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,Commodities
320,BCI,Aberdeen Standard Bloomberg All Commodity Strategy K-1 Free ETF,Commodities
321,BCM,iPath Pure Beta Broad Commodity ETN,Commodities
322,BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Leveraged Equities
323,BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Financials Equities
324,BDEC,Innovator S&P 500 Buffer ETF December Series,Large Cap Blend Equities
325,BAB,Invesco Taxable Municipal Bond ETF,National Munis
326,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
327,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
328,BAR,GraniteShares Gold Trust,Precious Metals
329,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
330,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
331,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
332,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
333,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
334,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
335,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
336,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
337,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
338,BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,Small Cap Growth Equities
339,BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
340,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate
341,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,Total Bond Market
342,BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,N/A
343,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,Large Cap Growth Equities
344,BCD,Aberdeen Standard Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,Commodities
345,BCI,Aberdeen Standard Bloomberg All Commodity Strategy K-1 Free ETF,Commodities
346,BCM,iPath Pure Beta Broad Commodity ETN,Commodities
347,BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Leveraged Equities
348,BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Financials Equities
349,BDEC,Innovator S&P 500 Buffer ETF December Series,Large Cap Blend Equities
350,BAB,Invesco Taxable Municipal Bond ETF,National Munis
351,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
352,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
353,BAR,GraniteShares Gold Trust,Precious Metals
354,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
355,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
356,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
357,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
358,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
359,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
360,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
361,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
362,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
363,BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,Small Cap Growth Equities
364,BBP,Virtus LifeSci Biotech Products ETF,Health & Biotech Equities
365,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate
366,BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,Total Bond Market
367,BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,N/A
368,BBUS,JPMorgan BetaBuilders U.S. Equity ETF,Large Cap Growth Equities
369,BCD,Aberdeen Standard Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,Commodities
370,BCI,Aberdeen Standard Bloomberg All Commodity Strategy K-1 Free ETF,Commodities
371,BCM,iPath Pure Beta Broad Commodity ETN,Commodities
372,BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Leveraged Equities
373,BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Financials Equities
374,BDEC,Innovator S&P 500 Buffer ETF December Series,Large Cap Blend Equities
375,BAB,Invesco Taxable Municipal Bond ETF,National Munis
376,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
377,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
